id,title,tags
1228246,Five Nights at Freddy's 2,"One year since the supernatural nightmare at Freddy Fazbear's Pizza, the stories about what transpired there have been twisted into a campy local legend, inspiring the town's first ever Fazfest. With the truth kept from her, Abby sneaks out to reconnect with Freddy, Bonnie, Chica, and Foxy, setting into motion a terrifying series of events that will reveal dark secrets about the real origin of Freddy's, and unleash a decades-hidden horror. Horror Thriller UnitedStatesofAmerica JoshHutcherson PiperRubio ElizabethLail MatthewLillard killerrobot pizzeria sequel serialkiller securityguard basedonvideogame themepark deadchildren aftercreditsstinger duringcreditsstinger hauntedattractions nightguard animatronic possesseddoll supernaturalhorror ghostchild slasherhorror androidhorror"
1199869,Eye for an Eye,"Anna, grieving the sudden death of her parents, relocates from New York to a small Florida town to live with the grandmother she has never met. Isolated, vulnerable, and in need of friends, she finds brief solace in the company of two local teens. But when she becomes complicit to their unforgivable act of violence, she finds herself ensnared by Mr. Sandman – the twisted soul of a tormented child who haunts bullies’ dreams before feasting on their eyeballs when they finally wake - Anna must right her wrong before becoming a victim of this gruesome curse. Horror UnitedStatesofAmerica UnitedKingdom WhitneyPeak GoldaRosheuvel FinnBennett LakenGiles basedongraphicnovel entity supernaturalcreature dreamlogic supernaturalinvestigation fightingsupernatural supernaturalbeing supernaturalhorror horror"
1206008,Ella McCay,"An idealistic young politician juggles familial issues and a challenging work life while preparing to take over the job of her mentor, the state’s longtime incumbent governor. Comedy Drama UnitedStatesofAmerica EmmaMackey JamieLeeCurtis SpikeFearn AlbertBrooks politics aunt dysfunctionalfamily politicalscandal governer ambiguous baffled woman"
1511417,Bāhubali: The Epic,"When a mysterious child is found by a tribal couple near a roaring waterfall, they raise him as their own. As he grows, Sivudu is drawn to the world beyond the cliffs, where he discovers the ancient kingdom of Mahishmati, ruled by a cruel tyrant, haunted by rebellion, and bound to his past. What begins as a quest for love soon unravels a legacy of betrayal, sacrifice, and a forgotten prince. Action Drama India Prabhas RanaDaggubati AnushkaShetty RamyaKrishnan affectation flashback revenge alternatehistory historicalfiction fratricide ancientindia regicide multigenerational absurd hindushiva multipletimelines remastered epicfilm director'scut"
524047,Greenland,"John Garrity, his estranged wife and their young son embark on a perilous journey to find sanctuary as a planet-killing comet hurtles toward Earth. Amid terrifying accounts of cities getting levelled, the Garritys experience the best and worst in humanity. As the countdown to the global apocalypse approaches zero, their incredible trek culminates in a desperate and last-minute flight to a possible safe haven. Action Adventure Thriller Science Fiction UnitedKingdom UnitedStatesofAmerica GerardButler MorenaBaccarin DavidDenman HopeDavis husbandwiferelationship panic kidnapping looting naturaldisaster stateofemergency comet endoftheworld meteorite disaster apocalypse destructionofplanet diabetic armybase emergency greenland atlanta,georgia amused"
1234821,Jurassic World Rebirth,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades. Science Fiction Adventure Action UnitedStatesofAmerica ScarlettJohansson MahershalaAli JonathanBailey RupertFriend island secretmission tyrannosaurusrex spinosaurus sequel stranded dinosaur family geneticexperiment mosasaurus"
982843,The Great Flood,"When a raging flood traps a researcher and her young son, a call to a crucial mission puts their escape — and the future of humanity — on the line. Science Fiction Adventure Drama SouthKorea KimDa-mi ParkHae-soo KwonEun-seong JeonHye-jin climatechange naturaldisaster globalwarming transhumanism flood meditative vexed thoughtful philosophical reflective complex loving introspective wistful provocative dramatic admiring adoring compassionate defiant dignified empathetic hopeful powerful sincere sympathetic urgent"
1236153,Mercy,"In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate. Science Fiction Action Thriller UnitedStatesofAmerica ChrisPratt RebeccaFerguson KaliReis KylieRogers raceagainsttime artificialintelligence(a.i.) bomb kidnapping losangeles,california falseaccusations innocentsuspect fatherdaughterrelationship criminaljusticesystem evidenceroom nearfuture screenlife suspenseful intense crime apathetic deadmanswitch"
1539104,JUJUTSU KAISEN: Execution,"A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc. Animation Action Japan JunyaEnoki MegumiOgata KojiYusa DaisukeNamikawa compilation basedonmanga editedfromtvseries shounen anime distressing"
1466115,Even If This Love Disappears Tonight,"A high school girl wakes up each day with no memory of yesterday. When she agrees to date a shy classmate, can their love grow with every new beginning? Romance Drama SouthKorea ChooYoung-woo ShinSia ChoYu-jung JinHo-eun amnesia basedonnovelorbook remake tearjerker highschoolromance slowburn purelove emotionalgrowth emotional melancholic youthmelodrama fearofgoodbye warmtragedy bittersweetending tearsguaranteed"
